2026-01-28 18:27:37,27.43,55.36,451.95,1.39
2026-01-28 18:42:56,24.55,62.53,550.08,4.7
2026-01-28 19:08:29,27.19,61.0,316.55,1.65
2026-01-30 12:07:55,28.46,44.44,453.23,2.29
2026-01-30 20:25:35,23.06,40.19,654.21,2.42
2026-02-04 13:26:53,20.44,55.07,428.05,6.79
2026-02-04 13:51:02,27.32,51.44,252.74,4.68
2026-02-04 13:58:05,26.19,49.65,250.03,4.96
2026-02-04 18:08:35,21.92,43.92,664.95,5.37
2026-02-04 18:56:58,27.35,43.98,403.95,5.99
2026-02-05 18:45:17,28.33,52.84,475.97,0.61
2026-02-05 20:00:59,24.19,57.85,559.72,6.91
2026-02-06 09:44:43,27.42,68.42,341.42,9.2
2026-02-06 20:01:59,25.19,63.87,553.24,5.63
2026-02-06 20:30:24,28.43,43.35,420.17,7.41
2026-02-06 21:29:38,24.49,45.32,359.21,3.53
2026-02-06 21:29:46,22.37,61.53,665.51,5.23
2026-02-11 20:01:40,23.98,68.82,314.79,3.61
2026-02-11 20:01:48,26.6,69.5,361.36,6.98
2026-02-13 13:50:34,24.7,45.29,554.33,7.28
2026-02-13 13:50:39,24.41,61.16,322.98,8.31
2026-02-13 13:53:45,21.81,41.8,604.47,8.16
2026-02-14 10:48:44,27.25,47.32,340.79,7.17
2026-03-02 19:55:03,28.09,57.32,603.38,2.81
